InjVolume,Peak_Area,AcquisitionDate,Peak_Standard,Quantitative_Standard,Isotope_Standard,Delta_value,SampleName,Date,rt,FA,Project
NA,NA,NA,NA,NA,NA,NA,peakID,NA,5535,2OH-c10:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,7736,2OH-c12:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,10288,2OH-c14:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,13622,2OH-c16:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,8088,3OH-c12:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,10693,3OH-c14:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,9698,a15:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,5427,c11:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,6436,c12:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,7568,c13:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,8789,c14:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,8638,c14:1w5,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,10068,c15:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,9912,c15:1w5,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,11496,c16:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,11187,c16:1w7,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,11179,c16:1w9,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,13243,c17:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,12842,c17:1w7,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,15361,c18:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,14920,c18:1w7,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,14767,c18:1w9,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,14628,c18:2w6,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,14274,c18:3w6,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,17966,c19:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,20878,c20:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,20210,c20:1w9,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,20037,c20:2,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,19059,c20:3w3,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,19463,c20:3w6,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,18849,c20:4w6,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,22825,c21:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,24330,c22:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,23950,c22:1w9,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,23883,c22:2,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,23133,c22:6w3,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,25577,c23:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,26675,c24:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,26407,c24:1w9,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,12969,cyc17:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,17448,cyc19:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,9593,i15:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,10937,i16:0,NA
NA,NA,NA,NA,NA,NA,NA,peakID,NA,12558,i17:0,NA
